timestamp,open,high,low,close,volume,market_cap
2025-10-31,2.401,2.456,2.306,2.422,8182932.04,341697.42
2025-11-01,2.422,2.527,2.392,2.52,4349799.46,370531.17
2025-11-02,2.519,2.573,2.427,2.489,5174135.06,335727.16
2025-11-03,2.489,2.505,2.13,2.228,11772662.36,867588.19
2025-11-04,2.228,2.275,2.055,2.176,15531570.52,921146.35
2025-11-05,2.176,2.296,2.087,2.265,7930491.03,297922.99
2025-11-06,2.265,2.304,2.175,2.263,5626849.59,169579.39
2025-11-07,2.264,2.541,2.196,2.493,12165223.16,759341.09
2025-11-08,2.493,2.585,2.447,2.523,8716176.35,449201.46
2025-11-09,2.523,2.599,2.474,2.55,7202315.96,506543.25
2025-11-10,2.549,2.695,2.456,2.627,9123249.04,1745361.38
2025-11-11,2.628,2.797,2.52,2.521,17949973.61,1998684.57
2025-11-12,2.521,2.596,2.434,2.467,6197146.38,325001.18
2025-11-13,2.468,2.548,2.343,2.4,5628419.37,450481.87
2025-11-14,2.4,2.469,2.265,2.341,8521530.11,355544.26
2025-11-15,2.341,2.461,2.339,2.422,4509954.75,402681.53
2025-11-16,2.421,2.456,2.308,2.357,5343765.76,145625.37
2025-11-17,2.357,2.407,2.279,2.314,6052179.32,198070.11
2025-11-18,2.314,2.428,2.28,2.392,4924485.35,285808.61
2025-11-19,2.392,2.409,2.23,2.293,5256438.63,307799.02
2025-11-20,2.292,2.33,2.194,2.2,4907431.26,314967.96
2025-11-21,2.201,2.236,1.969,2.077,11866119.42,435237.52
2025-11-22,2.077,2.29,2.011,2.264,11528369.77,730508.63
2025-11-23,2.264,2.289,2.233,2.25,5436500.86,304687.74
2025-11-24,2.25,2.408,2.239,2.365,10956170.72,666519.43
2025-11-25,2.364,2.431,2.33,2.424,3793560.2,213615.45
2025-11-26,2.424,2.48,2.374,2.474,3391102.97,130131.29
2025-11-27,2.473,2.5,2.45,2.482,2761964.25,252237.32
2025-11-28,2.481,2.507,2.366,2.394,4385877.47,211049.59
2025-11-29,2.395,2.404,2.337,2.353,1864983.93,133217.27
2025-11-30,2.354,2.419,2.339,2.377,2055174.33,66207.33
2025-12-01,2.377,2.385,2.201,2.262,7446989.8,193251.29
2025-12-02,2.262,2.43,2.247,2.38,6100442.9,178606.4
2025-12-03,2.38,2.453,2.33,2.401,4907577.14,106116.15
2025-12-04,2.401,2.419,2.318,2.344,2305122.65,131837.09
2025-12-05,2.345,2.362,2.26,2.277,2914930.22,55439.92
2025-12-06,2.277,2.281,2.246,2.261,1439621.9,49994.33
2025-12-07,2.261,2.279,2.201,2.24,1922777.94,58680.82
2025-12-08,2.239,2.368,2.235,2.319,2458588.31,54678.99
2025-12-09,2.319,2.417,2.279,2.369,2883039.32,160772.91
2025-12-10,2.369,2.379,2.319,2.324,2419175.43,64424.36
2025-12-11,2.323,2.328,2.179,2.26,3183090.6,98457.09
2025-12-12,2.261,2.284,2.191,2.213,2136659.98,75751.43
2025-12-13,2.213,2.269,2.206,2.262,1097524.96,26247.67
2025-12-14,2.262,2.274,2.127,2.143,2279735.12,48784.5
2025-12-15,2.143,2.191,2.011,2.031,4811932.49,83334.8
2025-12-16,2.031,2.085,1.973,2.054,4502535.01,104957.32
2025-12-17,2.054,2.062,1.835,1.854,9051848.62,546003.55
2025-12-18,1.854,1.883,1.766,1.795,6429097.21,293756.09
2025-12-19,1.795,1.857,1.786,1.84,2730633.25,128558.4
2025-12-20,1.839,1.87,1.815,1.856,2021795.03,103652.99
2025-12-21,1.856,1.867,1.823,1.837,492892.79,1922456.4
